https://www.englisch-hilfen.de/en/words/opposites1.htm,
Word,Opposite
(the) same,different
(the) same,the other
about,exactly
above,below
absence,presence
abundance,lack
accidental,intentional
active,lazy
adult,child
advanced,elementary
affirmative,negative
afraid,brave
after,before
against,for
alike,different
alive,dead
all,none
already,not yet
always,never
amateur,professional
ancestor,descendant
ancestor,descendant
ancient,modern
angel,devil
animal,human
answer,question
antonym,synonym
apart,together
approximately,exactly
arrival,departure
artificial,natural
ascent,descent
asleep,awake
attack,defence
attack,protection
attic,cellar
autumn,spring
awake,asleep
awful,delicious
awful,nice
awful,pleasant
back,in front of
background,foreground
backward,forward
bad,good
bad luck,fortune
bad luck,good luck
bad luck,good luck
beautiful,ugly
beauty,ugliness
before,after
beginning,end
beginning,ending
behind,in front of
below,above
best,worst
better,worse
big,small
big,to amuse
big,little
big,to be interested in
birth,death
bitter,sweet
black,white
blunt,sharp
body,soul
boring,exciting
boring,interesting
bottom,top
boy,girl
brave,cowardly
brave,afraid
broad,narrow
brother,sister
busy,lazy
calm,excited
careful,careless
careless,careful
ceiling,floor
cellar,attic
centre,outskirts
centre,suburb
certainly,probably
changeable,constant
cheap,expensive
child,adult
child,grown-up
children,parents
clean,dirty
clear,cloudy
clever,stupid
closed,open
cloudy,clear
cloudy,sunny
cloudy,bright
cold (kalt),hot
cold (Kälte),heat
comedy,drama
comedy,tragedy
complicated,simple
compliment,insult
compulsory,voluntary
consonant,vowel
constant,changeable
construction,destruction
cool,warm
correct,FALSE
correct,wrong
courage,fear
courageous,cowardly
cowardly,brave
cowardly,courageous
cruel,human
cruel,humane
cruel,kind
danger,security
danger,safety
dangerous,safe
dark,light
daughter,son
dawn,dusk
day,night
dead,alive
death,birth
death,life
deep,shallow
defeat,victory
defence,attack
delicious,awful
departure,arrival
descendant,ancestor
descent,ascent
desperate,hopeful
destruction,construction
devil,angel
dictatorship,republic
different,alike
different,equal
different,the same
difficult,easy
dirty,clean
disease,health
distant,near
division,unity
divorce,marriage
divorce,wedding
divorced,married
domestic,foreign
down,up
downstairs,upstairs
drama,comedy
dry,humid
dry,wet
dull,interesting
dusk,dawn
early,late
east,west
easy,difficult
easy,hard
elementary,advanced
emigration,immigration
empty,full
end,beginning
ending,beginning
enemy,friend
entrance,exit
equal,different
even (Zahlen),odd
evening,morning
everybody,nobody
everything,nothing
exactly,about
exactly,approximately
excited,calm
exciting,boring
exit,entrance
expensive,cheap
export,import
exposure,shelter
extreme,moderate
failure,success
far,near
fast,slow
fat,slim
fat,thin
fear,courage
female,male
few,many
final,first
finish,start
first,final
first,last
flat,hilly
floor,ceiling
for,against
foreground,background
foreign,domestic
foreigner,native
fortune,bad luck
forward,backward
frequently,occasionally
fresh,old/stale
friend,enemy
front,rear
full,empty
funny,serious
future,past
future,present
general,particular
general,special
generous,mean
gentle,violent
gentle,rough
gentle,strict
gentleman,lady
giant,tiny
giant,very little
giant,small
girl,boy
good,bad
good luck,bad luck
good luck,bad luck
grown-up,child
guest,host
guilty,innocent
handsome,ugly
happiness,sadness
happy,sad
hard,easy
hard,soft
health,disease
health,illness
healthy,ill
healthy,sick
heat,cold
heaven,hell
heavy,light
hell,heaven
here,there
high,low
high (Berg),deep
hilly,flat
hopeful,desperate
hopeful,hopeless
hopeless,hopeful
horizontal,vertical
host,guest
host,visitor
hot,cold
huge,tiny
human (Mensch),animal
humane (menschlich),cruel
humid,dry
hungry,thirsty
husband,wife
ill,healty
ill,well
immigration,emigration
import,export
in,out
in front of,back
in front of,back
in front of,behind
in front of,behind
innocent,guilty
inside,outside
insult,compliment
intelligent,silly
intelligent,stupid
intentional,accidental
interesting,boring
interesting,dull
junior,senior
kind,cruel
lack,abundance
lack,plenty
lady,gentleman
land,water
large,small
last,first
late,early
lazy,active
lazy,busy
left,right
less,more
life,death
light (hell),dark
light (leicht),heavy
liquid,solid
little (klein),big
little (klein),large
little (wenig),much
long,short
loser,winner
loud,quiet
lovely,terrible
low,high
major,minor
male,female
man,woman
many,few
many,some
marriage,divorce
married,divorced
married,single
master,servant
maximum,minimum
mean,generous
men,women
mess,order
midnight,noon
minimum,maximum
minor,major
moderate,extreme
modern,ancient
modern,old
monarchy,republic
moon,sun
more,less
morning,evening
mountain,valley
much,little
narrow,broad
narrow,wide
nasty,nice
nasty,pleasant
native,foreigner
native,stranger
natural,artificial
near,distant
near,far
negative,affirmative
nephew,niece
never,always
new,ancient
new,old
nice,awful
nice,nasty
niece,nephew
night,day
no,yes
nobody,everybody
noisy,quiet
noisy,silent
none of,al lof
noon,midnight
normal,strange
north,south
not yet,already
nothing,everything
now,then
occasionally,frequently
occupied,vacant
odd (Zahlen),even
off,on
often,seldom
often,sometimes
old,modern
old,new
old,young
on,off
open,closed
open,closed
open,shut
opponent,supporter
order,mess
ordinary,special
other,same
out,in
outside,inside
outskirts,centre
over,under
parents,children
part,whole
partial,total
particular,general
past,future
past,present
peace,war
pleasant,awful
plenty,lack
polite,rude
poor,rich
poor,wealthy
poverty,wealth
powerful,weak
presence,absence
present,past
present,future
pretty,ugly
private,public
probably,certainly
professional,amateur
protection,attack
public,private
pupil,teacher
question,answer
quick,slow
quiet,loud
quiet,noisy
rainy,sunny
rear,front
regret,satisfaction
reply,question
republic,dictatorship
republic,monarchy
rich,poor
right (rechts),left
right (richtig),wrong
rough (Oberfläche),smooth
rough (Oberfläche),soft
rough (Umgang),gentle
rude,polite
rural,urban
sad,happy
sadness,happiness
safe,dangerous
safety,danger
salt,sugar
satisfaction,regret
security,danger
seldom,often
senior,junior
serious,funny
servant,master
shallow,deep
sharp,blunt
shelter,exposure
short,long
short,tall
sick,healthy
silent,noisy
silly,intelligent
simple,complicated
single,married
sister,brother
slim,fat
slow,fast
slow,quick
small,big
small,large
small,tall
smooth,rough
soft,hard
soft,rough
solid,liquid
some,many
sometimes,often
son,daughter
soul,body
sour,sweet
south,north
special,general
special,ordinary
spring,autumn
start,finish
start,end
start,stop
strange,normal
stranger,native
strict,gentle
strong,weak
student,teacher
stupid,clever
stupid,intelligent
suburb,centre
success,failure
sugar,salt
summer,winter
sun,moon
sunny,cloudy
sunny,rainy
supporter,opponent
sweet,bitter
sweet,sour
synonym,antonym
tall,small
tall,short
teacher,pupil
teacher,student
terrible,lovely
then,now
there,here
thick,thin
thin,thick
thin,fat
thirsty,hungry
tight,loose
tiny,giant
tiny,huge
to accept,to refuse
to add,to subtract
to admit,to deny
to agree,to refuse
to agree,to argue
to allow,to forbid
to amuse,to bore
to annoy,to satisfy
to answer,to ask
to argue,to agree
to arrest,to free
to arrest,to set free
to arrive,to depart
to arrive,to leave
to ask,to answer
to attack,to defend
to be interested in,to bore
to begin,to end
to begin,to stop
to begin,to finish
to borrow,to lend
to break,to mend
to break,to fix
to build,to destroy
to buy,to sell
to catch,to miss
to catch,to throw
to close,to open
to come,to go
to connect,to separate
to continue,to interrupt
to create,to destroy
to cry (schreien),to whisper
to cry (weinen),to laugh
to damage,to repair
to defend,to attack
to deny,to admit
to depart,to arrive
to destroy,to build
to destroy,to create
to destroy,to form
to die,to live
to divide,to unite
to divorce,to marry
to emigrate,to immigrate
to end,to begin
to enjoy,to hate
to enter,to leave
to exclude,to include
to fail,to succeed
to fail,to pass
to find,to lose
to finish,to begin
to fix,to break
to follow,to lead
to forbid,to allow
to forbid,to let
to forbid,to permit
to forget,to remember
to form,to destroy
to free,to arrest
to freeze,to melt
to give,to take
to go,to come
to go,to stop
to harvest,to plant
to hate,to enjoy
to hate,to like
to hate,to love
to hit,to miss
to ignore,to notice
to immigrate,to emigrate
to include,to exclude
to increase,to reduce
to interrupt,to continue
to land (Flugzeug),to take off
to laugh,to cry
to lead,to follow
to learn,to teach
to leave,to arrive
to leave,to enter
to lend,to borrow
to let,to forbid
to lie,to stand
to like,to hate
to live,to die
to lose,to find
to lose,to win
to love,to hate
to lower,to raise
to marry,to divorce
to melt,to freeze
to mend,to break
to miss (verfehlen),to hit
to miss (verpassen),to catch
to notice,to ignore
to pass,to fail
to permit,to forbid
to plant,to harvest
to protect,to attack
to pull,to push
to push,to pull
to raise,to lower
to receive,to send
to reduce,to increase
to refuse,to agree
to refuse,to accept
to remember,to forget
to repair,to damage
to reply,to ask
to rest,to work
to rise,to sink
to satisfy,to annoy
to save,to spend
to save,to waste
to scream,to whisper
to sell,to buy
to send,to receive
to send,to save
to separate,to connect
to separate,to unite
to set free,to arrest
to shout,to whisper
to shut,to open
to sink,to rise
to sit,to stand
to stand,to sit
to stand,to lie
to start,to stop
to stop,to start
to stop,to go
to subtract,to add
to succeed,to fail
to suspect,to trust
to take,to give
to take off,to land
to teach,to learn
to throw,to catch
to trust,to suspect
to unite,to divide
to unite,to separate
to waste,to save
to whisper,to scream
to whisper,to shout
to win,to lose
to work,to rest
together,apart
tomorrow,yesterday
top,bottom
total,partial
town,village
tragedy,comedy
ugliness,beauty
ugly,beautiful
ugly,handsome (boys)
ugly,pretty (girls)
under,over
unity,division
up,down
upstairs,downstairs
urban,rural
useful,useless
useless,useful
vacant,occupied
valley,mountain
vertical,horizontal
victory,defeat
village,town
violent,gentle
visitor,host
voluntary,compulsory
vowel,consonant
war,peace
warm,cool
water,land
weak,powerful
weak,strong
wealth,poverty
wealthy,poor
wedding,divorce
well (gesund),ill
west,east
wet,dry
white,black
whole,part
wide,narrow
wife,husband
winner,loser
winter,summer
woman,man
women,men
worse,better
worst,best
wrong,correct
wrong,right
yes,no
yesterday,tomorrow
young,old
FALSE,correct
FALSE,TRUE
TRUE,FALSE