"","Base.Word","Level.x","Part.of.Speech.x","Level.y","Part.of.Speech.y","plurals.f.lemma"
"14","april","A1","noun",NA,NA,NA
"75","cafã©","A1","noun",NA,NA,NA
"78","car","A1","noun",NA,NA,NA
"80","cd","A1","noun",NA,NA,NA
"113","dancing","A1","noun",NA,NA,NA
"120","december","A1","noun",NA,NA,NA
"132","dvd","A1","noun",NA,NA,NA
"133","e-mail","A1","noun",NA,NA,NA
"150","february","A1","noun",NA,NA,NA
"157","foot","A1","noun",NA,NA,NA
"164","fun","A1","noun",NA,NA,NA
"194","january","A1","noun",NA,NA,NA
"200","july","A1","noun",NA,NA,NA
"201","june","A1","noun",NA,NA,NA
"231","may","A1","noun",NA,NA,NA
"248","mr.","A1","noun",NA,NA,NA
"249","mrs.","A1","noun",NA,NA,NA
"264","november","A1","noun",NA,NA,NA
"267","october","A1","noun",NA,NA,NA
"275","pants","A1","noun",NA,NA,NA
"336","september","A1","noun",NA,NA,NA
"337","sheep","A1","noun",NA,NA,NA
"340","shopping","A1","noun",NA,NA,NA
"345","smoking","A1","noun",NA,NA,NA
"365","t-shirt","A1","noun",NA,NA,NA
"419","wine","A1","noun",NA,NA,NA
"444","advice","A2","noun",NA,NA,NA
"471","badminton","A2","noun",NA,NA,NA
"474","banking","A2","noun",NA,NA,NA
"536","businesswoman","A2","noun",NA,NA,NA
"544","camping","A2","noun",NA,NA,NA
"584","chemistry","A2","noun",NA,NA,NA
"585","chess","A2","noun",NA,NA,NA
"597","climbing","A2","noun",NA,NA,NA
"612","comparative","A2","noun",NA,NA,NA
"623","cooking","A2","noun",NA,NA,NA
"642","cycling","A2","noun",NA,NA,NA
"673","dr.","A2","noun",NA,NA,NA
"685","east","A2","noun",NA,NA,NA
"686","electricity","A2","noun",NA,NA,NA
"725","fishing","A2","noun",NA,NA,NA
"742","furniture","A2","noun",NA,NA,NA
"760","gold","A2","noun",NA,NA,NA
"761","golf","A2","noun",NA,NA,NA
"798","handball","A2","noun",NA,NA,NA
"800","health","A2","noun",NA,NA,NA
"810","hiking","A2","noun",NA,NA,NA
"812","hip-hop","A2","noun",NA,NA,NA
"815","hockey","A2","noun",NA,NA,NA
"816","honey","A2","noun",NA,NA,NA
"818","ice","A2","noun",NA,NA,NA
"826","information","A2","noun",NA,NA,NA
"839","jewelry","A2","noun",NA,NA,NA
"871","license","A2","noun",NA,NA,NA
"883","luck","A2","noun",NA,NA,NA
"891","makeup","A2","noun",NA,NA,NA
"916","midnight","A2","noun",NA,NA,NA
"933","ms.","A2","noun",NA,NA,NA
"944","news","A2","noun",NA,NA,NA
"948","north","A2","noun",NA,NA,NA
"993","pc","A2","noun",NA,NA,NA
"1000","photography","A2","noun",NA,NA,NA
"1030","policewoman","A2","noun",NA,NA,NA
"1034","pop","A2","noun",NA,NA,NA
"1062","quiz","A2","noun",NA,NA,NA
"1090","rugby","A2","noun",NA,NA,NA
"1094","running","A2","noun",NA,NA,NA
"1136","sightseeing","A2","noun",NA,NA,NA
"1140","silver","A2","noun",NA,NA,NA
"1142","singing","A2","noun",NA,NA,NA
"1150","skateboarding","A2","noun",NA,NA,NA
"1151","skating","A2","noun",NA,NA,NA
"1153","sky","A2","noun",NA,NA,NA
"1159","snowboarding","A2","noun",NA,NA,NA
"1171","south","A2","noun",NA,NA,NA
"1202","supper","A2","noun",NA,NA,NA
"1203","surfing","A2","noun",NA,NA,NA
"1209","swimming","A2","noun",NA,NA,NA
"1236","tonight","A2","noun",NA,NA,NA
"1249","traffic","A2","noun",NA,NA,NA
"1273","walking","A2","noun",NA,NA,NA
"1277","wastebasket","A2","noun",NA,NA,NA
"1285","west","A2","noun",NA,NA,NA
"1290","woods","A2","noun",NA,NA,NA
"1330","ages","B1","noun",NA,NA,NA
"1393","backpacking","B1","noun",NA,NA,NA
"1396","baggage","B1","noun",NA,NA,NA
"1443","boxing","B1","noun",NA,NA,NA
"1507","cd-rom","B1","noun",NA,NA,NA
"1598","countryside","B1","noun",NA,NA,NA
"1627","cry","B1","noun",NA,NA,NA
"1638","customs","B1","noun",NA,NA,NA
"1641","cv","B1","noun",NA,NA,NA
"1693","dirt","B1","noun",NA,NA,NA
"1708","diving","B1","noun",NA,NA,NA
"1710","dj","B1","noun",NA,NA,NA
"1753","engineering","B1","noun",NA,NA,NA
"1786","farming","B1","noun",NA,NA,NA
"1814","film-maker","B1","noun",NA,NA,NA
"1815","final","B1","noun",NA,NA,NA
"1835","fly","B1","noun",NA,NA,NA
"1840","foot","B1","noun",NA,NA,NA
"1901","handwriting","B1","noun",NA,NA,NA
"1904","hardware","B1","noun",NA,NA,NA
"1926","housework","B1","noun",NA,NA,NA
"1943","importance","B1","noun",NA,NA,NA
"1971","jogging","B1","noun",NA,NA,NA
"2016","leisure","B1","noun",NA,NA,NA
"2059","ma'am","B1","noun",NA,NA,NA
"2108","nightlife","B1","noun",NA,NA,NA
"2110","northeast","B1","noun",NA,NA,NA
"2111","northwest","B1","noun",NA,NA,NA
"2151","pantyhose","B1","noun",NA,NA,NA
"2156","parking","B1","noun",NA,NA,NA
"2219","poetry","B1","noun",NA,NA,NA
"2224","politics","B1","noun",NA,NA,NA
"2267","punctuation","B1","noun",NA,NA,NA
"2279","quiz","B1","noun",NA,NA,NA
"2319","rã©sumã©","B1","noun",NA,NA,NA
"2352","saleswoman","B1","noun",NA,NA,NA
"2353","salmon","B1","noun",NA,NA,NA
"2361","scenery","B1","noun",NA,NA,NA
"2376","seaside","B1","noun",NA,NA,NA
"2389","series","B1","noun",NA,NA,NA
"2427","sir","B1","noun",NA,NA,NA
"2448","southeast","B1","noun",NA,NA,NA
"2449","southwest","B1","noun",NA,NA,NA
"2466","spy","B1","noun",NA,NA,NA
"2508","sunshine","B1","noun",NA,NA,NA
"2573","tourism","B1","noun",NA,NA,NA
"2587","training","B1","noun",NA,NA,NA
"2589","transportation","B1","noun",NA,NA,NA
"2614","underwear","B1","noun",NA,NA,NA
"2615","unemployment","B1","noun",NA,NA,NA
"2666","wildlife","B1","noun",NA,NA,NA
"2669","windshield","B1","noun",NA,NA,NA
"2670","windsurfing","B1","noun",NA,NA,NA
"2691","yoga","B1","noun",NA,NA,NA
"2718","admiration","B2","noun",NA,NA,NA
"2725","advertising","B2","noun",NA,NA,NA
"2733","agriculture","B2","noun",NA,NA,NA
"2734","aircraft","B2","noun",NA,NA,NA
"2736","aluminum","B2","noun",NA,NA,NA
"2737","amazement","B2","noun",NA,NA,NA
"2759","appreciation","B2","noun",NA,NA,NA
"2773","assistance","B2","noun",NA,NA,NA
"2788","availability","B2","noun",NA,NA,NA
"2802","banking","B2","noun",NA,NA,NA
"2811","basis","B2","noun",NA,NA,NA
"2853","bravery","B2","noun",NA,NA,NA
"2860","broadband","B2","noun",NA,NA,NA
"2861","brother-in-law","B2","noun",NA,NA,NA
"2885","cardboard","B2","noun",NA,NA,NA
"2900","catering","B2","noun",NA,NA,NA
"2908","centigrade","B2","noun",NA,NA,NA
"2948","clothing","B2","noun",NA,NA,NA
"2952","coaching","B2","noun",NA,NA,NA
"2974","commerce","B2","noun",NA,NA,NA
"3010","conservation","B2","noun",NA,NA,NA
"3029","cooperation","B2","noun",NA,NA,NA
"3042","courage","B2","noun",NA,NA,NA
"3053","creativity","B2","noun",NA,NA,NA
"3068","curve","B2","noun",NA,NA,NA
"3074","data","B2","noun",NA,NA,NA
"3076","daughter-in-law","B2","noun",NA,NA,NA
"3115","destruction","B2","noun",NA,NA,NA
"3143","dishonesty","B2","noun",NA,NA,NA
"3170","eagerness","B2","noun",NA,NA,NA
"3172","earnings","B2","noun",NA,NA,NA
"3186","eggplant","B2","noun",NA,NA,NA
"3199","enjoyment","B2","noun",NA,NA,NA
"3206","equality","B2","noun",NA,NA,NA
"3217","evolution","B2","noun",NA,NA,NA
"3237","eyesight","B2","noun",NA,NA,NA
"3252","fame","B2","noun",NA,NA,NA
"3256","father-in-law","B2","noun",NA,NA,NA
"3272","fighting","B2","noun",NA,NA,NA
"3284","flexibility","B2","noun",NA,NA,NA
"3287","fluency","B2","noun",NA,NA,NA
"3288","folks","B2","noun",NA,NA,NA
"3308","gambling","B2","noun",NA,NA,NA
"3313","gardening","B2","noun",NA,NA,NA
"3317","gasoline","B2","noun",NA,NA,NA
"3330","goods","B2","noun",NA,NA,NA
"3344","grown-up","B2","noun",NA,NA,NA
"3350","guidance","B2","noun",NA,NA,NA
"3351","guilt","B2","noun",NA,NA,NA
"3355","guts","B2","noun",NA,NA,NA
"3394","honesty","B2","noun",NA,NA,NA
"3410","hunting","B2","noun",NA,NA,NA
"3436","independence","B2","noun",NA,NA,NA
"3442","inflation","B2","noun",NA,NA,NA
"3506","laughter","B2","noun",NA,NA,NA
"3519","learning","B2","noun",NA,NA,NA
"3545","lighting","B2","noun",NA,NA,NA
"3569","luck","B2","noun",NA,NA,NA
"3577","maintenance","B2","noun",NA,NA,NA
"3585","mankind","B2","noun",NA,NA,NA
"3589","manufacturing","B2","noun",NA,NA,NA
"3594","marketing","B2","noun",NA,NA,NA
"3609","means","B2","noun",NA,NA,NA
"3638","mother-in-law","B2","noun",NA,NA,NA
"3668","nonsense","B2","noun",NA,NA,NA
"3710","overtime","B2","noun",NA,NA,NA
"3723","panties","B2","noun",NA,NA,NA
"3743","patience","B2","noun",NA,NA,NA
"3777","planning","B2","noun",NA,NA,NA
"3786","plus","B2","noun",NA,NA,NA
"3798","popularity","B2","noun",NA,NA,NA
"3813","poverty","B2","noun",NA,NA,NA
"3830","prevention","B2","noun",NA,NA,NA
"3833","privacy","B2","noun",NA,NA,NA
"3848","programming","B2","noun",NA,NA,NA
"3864","publicity","B2","noun",NA,NA,NA
"3885","quiet","B2","noun",NA,NA,NA
"3886","racism","B2","noun",NA,NA,NA
"3939","remains","B2","noun",NA,NA,NA
"3984","safety","B2","noun",NA,NA,NA
"3990","savings","B2","noun",NA,NA,NA
"4012","self-confidence","B2","noun",NA,NA,NA
"4013","semi-final","B2","noun",NA,NA,NA
"4023","series","B2","noun",NA,NA,NA
"4062","sister-in-law","B2","noun",NA,NA,NA
"4077","son-in-law","B2","noun",NA,NA,NA
"4087","species","B2","noun",NA,NA,NA
"4122","storage","B2","noun",NA,NA,NA
"4155","sunlight","B2","noun",NA,NA,NA
"4207","terms","B2","noun",NA,NA,NA
"4231","thirst","B2","noun",NA,NA,NA
"4250","tone","B2","noun",NA,NA,NA
"4270","transportation","B2","noun",NA,NA,NA
"4276","trekking","B2","noun",NA,NA,NA
"4292","try","B2","noun",NA,NA,NA
"4322","violence","B2","noun",NA,NA,NA
"4341","warmth","B2","noun",NA,NA,NA
"4349","wealth","B2","noun",NA,NA,NA
"4353","welfare","B2","noun",NA,NA,NA
"4359","will","B2","noun",NA,NA,NA
"4365","wisdom","B2","noun",NA,NA,NA
"4383","x-ray","B2","noun",NA,NA,NA
"4410","aggression","C1","noun",NA,NA,NA
"4423","applause","C1","noun",NA,NA,NA
"4426","archaeology","C1","noun",NA,NA,NA
"4443","bacteria","C1","noun",NA,NA,NA
"4444","basis","C1","noun",NA,NA,NA
"4484","car","C1","noun",NA,NA,NA
"4497","cholesterol","C1","noun",NA,NA,NA
"4505","clarification","C1","noun",NA,NA,NA
"4521","competence","C1","noun",NA,NA,NA
"4537","conservation","C1","noun",NA,NA,NA
"4540","consumption","C1","noun",NA,NA,NA
"4556","corruption","C1","noun",NA,NA,NA
"4565","coverage","C1","noun",NA,NA,NA
"4611","digestion","C1","noun",NA,NA,NA
"4644","domination","C1","noun",NA,NA,NA
"4719","fumes","C1","noun",NA,NA,NA
"4723","funding","C1","noun",NA,NA,NA
"4746","globalization","C1","noun",NA,NA,NA
"4766","housing","C1","noun",NA,NA,NA
"4767","humanity","C1","noun",NA,NA,NA
"4786","inability","C1","noun",NA,NA,NA
"4793","industrialization","C1","noun",NA,NA,NA
"4797","innocence","C1","noun",NA,NA,NA
"4807","integration","C1","noun",NA,NA,NA
"4812","interference","C1","noun",NA,NA,NA
"4815","isolation","C1","noun",NA,NA,NA
"4825","junk","C1","noun",NA,NA,NA
"4878","machinery","C1","noun",NA,NA,NA
"4897","mentality","C1","noun",NA,NA,NA
"4901","mining","C1","noun",NA,NA,NA
"4909","moral","C1","noun",NA,NA,NA
"4927","networking","C1","noun",NA,NA,NA
"4939","obesity","C1","noun",NA,NA,NA
"4969","ownership","C1","noun",NA,NA,NA
"4984","personnel","C1","noun",NA,NA,NA
"4989","planning","C1","noun",NA,NA,NA
"5003","premises","C1","noun",NA,NA,NA
"5004","preservation","C1","noun",NA,NA,NA
"5017","productivity","C1","noun",NA,NA,NA
"5034","purity","C1","noun",NA,NA,NA
"5063","recruitment","C1","noun",NA,NA,NA
"5070","relevance","C1","noun",NA,NA,NA
"5088","rip-off","C1","noun",NA,NA,NA
"5092","rudeness","C1","noun",NA,NA,NA
"5098","safety","C1","noun",NA,NA,NA
"5100","savings","C1","noun",NA,NA,NA
"5105","scope","C1","noun",NA,NA,NA
"5114","self-esteem","C1","noun",NA,NA,NA
"5126","sewing","C1","noun",NA,NA,NA
"5139","slavery","C1","noun",NA,NA,NA
"5148","soy","C1","noun",NA,NA,NA
"5164","stability","C1","noun",NA,NA,NA
"5200","suitability","C1","noun",NA,NA,NA
"5204","supervision","C1","noun",NA,NA,NA
"5307","well-being","C1","noun",NA,NA,NA
"5308","will","C1","noun",NA,NA,NA
"5375","astronomy","C2","noun",NA,NA,NA
"5388","backing","C2","noun",NA,NA,NA
"5389","baggage","C2","noun",NA,NA,NA
"5439","bribery","C2","noun",NA,NA,NA
"5453","capitalism","C2","noun",NA,NA,NA
"5507","clarity","C2","noun",NA,NA,NA
"5510","clichã©","C2","noun",NA,NA,NA
"5516","coherence","C2","noun",NA,NA,NA
"5598","cry","C2","noun",NA,NA,NA
"5624","desperation","C2","noun",NA,NA,NA
"5654","discretion","C2","noun",NA,NA,NA
"5671","dominance","C2","noun",NA,NA,NA
"5759","give-and-take","C2","noun",NA,NA,NA
"5777","guts","C2","noun",NA,NA,NA
"5801","humanity","C2","noun",NA,NA,NA
"5809","ignorance","C2","noun",NA,NA,NA
"5818","impatience","C2","noun",NA,NA,NA
"5824","impossibility","C2","noun",NA,NA,NA
"5832","indifference","C2","noun",NA,NA,NA
"5835","individuality","C2","noun",NA,NA,NA
"5837","infancy","C2","noun",NA,NA,NA
"5845","innocence","C2","noun",NA,NA,NA
"5861","integrity","C2","noun",NA,NA,NA
"5869","interference","C2","noun",NA,NA,NA
"5884","isolation","C2","noun",NA,NA,NA
"5930","likelihood","C2","noun",NA,NA,NA
"5937","loathing","C2","noun",NA,NA,NA
"5940","longevity","C2","noun",NA,NA,NA
"5963","means","C2","noun",NA,NA,NA
"5988","momentum","C2","noun",NA,NA,NA
"6008","negligence","C2","noun",NA,NA,NA
"6011","normality","C2","noun",NA,NA,NA
"6031","offspring","C2","noun",NA,NA,NA
"6080","persistence","C2","noun",NA,NA,NA
"6146","quest","C2","noun",NA,NA,NA
"6166","reasoning","C2","noun",NA,NA,NA
"6235","running","C2","noun",NA,NA,NA
"6250","schooling","C2","noun",NA,NA,NA
"6251","scope","C2","noun",NA,NA,NA
"6264","self-assurance","C2","noun",NA,NA,NA
"6265","self-awareness","C2","noun",NA,NA,NA
"6266","self-control","C2","noun",NA,NA,NA
"6267","self-discipline","C2","noun",NA,NA,NA
"6268","self-reliance","C2","noun",NA,NA,NA
"6269","self-respect","C2","noun",NA,NA,NA
"6274","serenity","C2","noun",NA,NA,NA
"6277","severity","C2","noun",NA,NA,NA
"6298","sincerity","C2","noun",NA,NA,NA
"6315","spending","C2","noun",NA,NA,NA
"6318","spite","C2","noun",NA,NA,NA
"6332","stardom","C2","noun",NA,NA,NA
"6335","starvation","C2","noun",NA,NA,NA
"6358","stupidity","C2","noun",NA,NA,NA
"6364","superiority","C2","noun",NA,NA,NA
"6368","suspense","C2","noun",NA,NA,NA
"6369","sustainability","C2","noun",NA,NA,NA
"6370","syllabus","C2","noun",NA,NA,NA
"6383","talks","C2","noun",NA,NA,NA
"6414","tone","C2","noun",NA,NA,NA
"6426","traffic","C2","noun",NA,NA,NA
"6455","unrest","C2","noun",NA,NA,NA
"6460","validity","C2","noun",NA,NA,NA
"6479","violence","C2","noun",NA,NA,NA
"6500","welfare","C2","noun",NA,NA,NA
"6503","will","C2","noun",NA,NA,NA
"6519","xenophobia","C2","noun",NA,NA,NA
"6522","cattle","B1","noun",NA,NA,NA
"6525","daycare","C1","noun",NA,NA,NA
"6536","transportation","C1","noun",NA,NA,NA
"6659","internet","A1","noun",NA,NA,NA
"6672","driving","A2","noun",NA,NA,NA
"6673","jewellery","A2","noun",NA,NA,NA
"6676","maths","A2","noun",NA,NA,NA
"6677","media","A2","noun",NA,NA,NA
"6679","petrol","A2","noun",NA,NA,NA
"6681","smartphone","A2","noun",NA,NA,NA
"6683","thinking","A2","noun",NA,NA,NA
"6685","washing","A2","noun",NA,NA,NA
"6686","weslome","A2","noun",NA,NA,NA
"6689","breathing","B1","noun",NA,NA,NA
"6690","heating","B1","noun",NA,NA,NA
"6693","printing","B1","noun",NA,NA,NA
"6694","racing","B1","noun",NA,NA,NA
"6695","row1","B1","noun",NA,NA,NA
"6698","arms","B2","noun",NA,NA,NA
"6713","aids","B2","noun",NA,NA,NA
"6732","gaming","B2","noun",NA,NA,NA
"6735","healthcare","B2","noun",NA,NA,NA
"6736","info","B2","noun",NA,NA,NA
"6751","publishing","B2","noun",NA,NA,NA
"6754","reporting","B2","noun",NA,NA,NA
"6759","spokeswoman","B2","noun",NA,NA,NA
"6760","testing","B2","noun",NA,NA,NA
"6761","trading","B2","noun",NA,NA,NA
"6764","voting","B2","noun",NA,NA,NA
"6765","warming","B2","noun",NA,NA,NA
"6769","accused","C1","noun",NA,NA,NA
"6771","activation","C1","noun",NA,NA,NA
"6797","bass1","C1","noun",NA,NA,NA
"6799","beast","C1","noun",NA,NA,NA
"6800","behalf","C1","noun",NA,NA,NA
"6812","bulk","C1","noun",NA,NA,NA
"6832","consistency","C1","noun",NA,NA,NA
"6837","coordination","C1","noun",NA,NA,NA
"6843","councilor","C1","noun",NA,NA,NA
"6850","decision-making","C1","noun",NA,NA,NA
"6856","detection","C1","noun",NA,NA,NA
"6862","documentation","C1","noun",NA,NA,NA
"6884","fundraising","C1","noun",NA,NA,NA
"6893","handling","C1","noun",NA,NA,NA
"6897","imagery","C1","noun",NA,NA,NA
"6913","lineup","C1","noun",NA,NA,NA
"6922","meantime","C1","noun",NA,NA,NA
"6928","midst","C1","noun",NA,NA,NA
"6935","morality","C1","noun",NA,NA,NA
"6943","passing","C1","noun",NA,NA,NA
"6952","precision","C1","noun",NA,NA,NA
"6959","processing","C1","noun",NA,NA,NA
"6983","sexuality","C1","noun",NA,NA,NA
"6985","shipping","C1","noun",NA,NA,NA
"6999","synthesis","C1","noun",NA,NA,NA
"7018","warfare","C1","noun",NA,NA,NA
"7020","others","A1","noun",NA,NA,NA
"7024","mrs","A1","noun",NA,NA,NA
"7026","senate","A2","noun",NA,NA,NA
"7028","sales","A2","noun",NA,NA,NA
"7029","ms","A1","noun",NA,NA,NA
"7030","christmas","B1","noun",NA,NA,NA
"7031","works","A2","noun",NA,NA,NA
"7035","ceo","B1","noun",NA,NA,NA
"7036","criteria","C1","noun",NA,NA,NA
"7040","worth","B2","noun",NA,NA,NA
"7046","dining","B2","noun",NA,NA,NA
"7053","corps","C1","noun",NA,NA,NA
"7054","operating","B2","noun",NA,NA,NA
"7057","ethics","B2","noun",NA,NA,NA
"7062","christian","B1","noun",NA,NA,NA
"7066","drinking","A2","noun",NA,NA,NA
"7067","t-shirt","B1","noun",NA,NA,NA
"7073","olympics","A2","noun",NA,NA,NA
"7084","starting","B2","noun",NA,NA,NA
"7086","eating","B2","noun",NA,NA,NA
"7097","accounting","B2","noun",NA,NA,NA
"7102","cocaine","C1","noun",NA,NA,NA
"7122","christianity","B1","noun",NA,NA,NA
"7165","ok","A2","adjective, adverb, noun, verb",NA,NA,NA
"7182","flying","A2","adjective, noun",NA,NA,NA
"7188","worth","B2","adjective, noun",NA,NA,NA
